Team #,PointsinAUTO,Amp/Speaker,TeleopNOTESA,TeleopNOTESS,Climb,TeleopNOTESTrap,DriverRating,HumanPlayerRating,CoopertitionButton,"BotRating, Mobility, Park "
3883,7,0,0,10,0,1,3,2,1,5,0,1
2855,5,0,9,0,0,1,2,0,0,5,1,0
6044,5,0,0,7,1,0,4,4,0,4,0,0
8803,10,0,0,9,1,0,2,5,1,1,0,0
4786,10,0,3,7,1,1,0,1,1,5,0,0
3206,10,0,1,5,1,1,4,4,0,1,0,1
7619,7,0,2,5,0,1,1,2,0,0,0,0
2039,2,0,0,10,0,1,4,2,1,5,1,0
2846,5,0,0,3,0,1,0,3,1,0,0,0
5339,10,0,9,1,0,1,0,0,1,1,0,0
1792,5,0,2,5,1,0,2,3,0,2,1,0
6574,7,0,3,7,1,0,3,0,1,5,0,1
4703,5,0,0,7,1,1,3,0,0,3,1,0
3100,5,0,0,9,1,1,1,4,1,0,0,0
7273,10,0,8,0,1,0,2,3,1,1,0,0
3212,5,0,6,2,0,1,4,0,1,5,0,0
6047,7,0,2,6,0,1,4,2,0,4,1,1
2062,5,0,5,5,1,1,2,1,0,3,1,1
7273,2,0,7,2,0,1,3,5,1,1,0,1
6574,5,0,2,7,1,0,3,3,1,4,0,0
6147,5,0,0,10,0,1,5,0,1,2,1,0
4182,2,0,2,1,0,1,5,5,1,4,0,0
7530,2,0,5,5,1,1,1,3,1,2,0,1
6132,5,0,2,0,0,0,0,0,0,0,0,0
2472,5,0,4,5,1,1,4,5,0,2,1,1
2472,7,0,2,6,1,0,0,1,1,0,1,0
3023,5,0,5,5,0,0,0,2,1,3,1,0
4229,2,0,3,6,1,0,2,1,0,4,0,1
1806,7,0,3,7,0,0,4,5,1,4,1,0
6044,5,0,2,6,0,0,4,3,0,3,0,0
8122,10,0,3,7,0,0,3,2,1,5,1,0
2129,7,0,5,0,0,1,4,4,0,3,0,1
3206,7,0,1,3,0,0,4,2,0,0,0,0
6044,5,0,0,10,0,0,3,2,1,3,0,0
2491,10,0,5,4,1,0,3,1,1,0,1,1
2987,5,0,0,3,0,0,3,5,0,2,0,1
3023,7,0,0,8,1,1,3,5,1,2,0,0
2987,7,0,1,9,0,1,4,4,0,5,1,0
6132,7,0,6,2,1,1,5,1,1,1,1,0
2987,10,0,1,7,0,0,1,3,1,4,0,1
8700,10,0,8,2,0,1,0,0,0,5,0,1
2039,5,0,0,6,1,0,3,3,1,2,0,0
2264,10,0,7,2,0,0,2,2,1,1,0,1
2062,2,0,1,8,0,0,1,1,0,0,0,1
2574,7,0,7,0,1,1,0,4,0,2,0,1
1806,2,0,1,7,1,1,2,1,0,4,0,1
8803,7,0,1,9,0,1,0,2,1,0,1,1
8122,10,0,0,10,0,1,3,1,1,4,1,1
5275,2,0,6,4,1,0,2,5,1,1,0,0
6044,10,0,0,5,0,0,0,2,0,0,1,0
2227,5,0,7,3,1,1,2,3,0,3,1,1
1806,2,0,5,5,1,1,3,4,0,0,1,0
2175,5,0,4,6,1,0,1,0,0,2,1,1
6574,5,0,0,6,0,0,1,5,1,0,0,0
2987,10,0,3,4,1,1,5,2,1,2,1,0
6147,10,0,7,1,1,0,2,3,1,5,0,1
3883,2,0,4,6,0,0,1,0,0,2,1,0
2574,10,0,7,1,0,0,3,4,1,3,0,0
6047,10,0,1,8,1,1,5,3,1,3,1,1
3418,10,0,3,2,0,0,3,3,0,0,0,1
2574,2,0,1,7,1,0,0,4,1,3,1,1
4166,7,0,0,4,1,1,2,2,1,4,1,0
2175,10,0,9,1,0,0,5,5,1,1,1,0
4230,10,0,5,4,0,1,0,2,1,3,0,1
4786,10,0,4,0,1,0,1,1,1,0,1,1
5232,7,0,4,0,0,1,1,0,0,2,0,1
2855,10,0,2,8,0,0,0,0,1,4,1,0
6132,5,0,3,2,0,0,3,3,0,1,0,0
7273,7,0,5,2,0,1,3,0,1,3,1,0
3206,2,0,8,0,0,0,1,5,0,3,1,1
1806,7,0,1,7,0,1,1,2,1,5,1,1
7273,5,0,0,2,0,0,5,0,1,4,0,0
3212,5,0,3,7,0,1,0,2,1,3,1,1
1716,2,0,3,5,1,0,2,3,0,0,1,0
2175,10,0,2,8,1,0,0,4,1,2,1,1
5232,10,0,1,2,1,0,0,3,0,2,1,1
1792,10,0,0,6,0,1,3,3,1,5,1,1
4166,7,0,5,2,0,1,0,3,1,4,1,1
4229,10,0,1,8,0,1,3,1,0,5,0,0
2264,10,0,5,2,0,1,1,5,1,1,0,1
4703,10,0,1,8,0,0,5,3,1,2,1,0
3082,5,0,0,10,1,0,2,0,1,2,1,0
5913,7,0,2,7,1,1,3,4,1,1,0,0
4786,2,0,1,6,1,1,3,0,1,0,1,1
4786,7,0,5,1,0,1,2,3,1,3,0,1
1716,7,0,3,0,0,0,5,1,0,1,0,0
2169,2,0,7,2,1,0,0,2,0,4,1,1
7619,2,0,2,4,0,1,1,2,0,3,0,0
6045,10,0,6,4,1,1,5,5,0,3,0,1
7530,2,0,1,7,0,0,5,4,0,3,0,1
5271,5,0,0,9,0,1,3,0,1,1,1,0
3130,10,0,5,5,1,1,1,2,1,3,1,1
7273,5,0,4,4,0,1,2,0,0,2,1,1
6044,10,0,1,5,0,1,0,4,0,3,1,1
8700,2,0,0,1,1,1,3,4,1,3,0,1
6574,5,0,0,10,0,1,3,5,0,5,0,0
2472,10,0,4,0,1,1,2,2,1,1,1,1
2512,5,0,3,5,0,0,1,1,0,5,1,0
5720,2,0,0,9,0,1,1,0,1,2,1,1
2501,5,0,4,3,1,1,4,1,1,0,0,0
2491,2,0,5,2,1,0,4,2,0,3,1,1
2169,7,0,3,0,0,1,3,0,0,0,1,0
2491,10,0,2,5,1,0,5,2,0,4,1,1
2472,10,0,3,1,0,1,0,3,1,2,1,0
4182,2,0,9,1,1,1,3,3,1,0,0,1
7530,7,0,1,6,0,0,4,2,0,2,0,1
2227,7,0,2,8,0,1,2,4,1,5,0,0
2227,2,0,3,0,0,0,1,1,0,4,1,1
2501,5,0,2,8,0,0,3,0,1,3,1,1
2169,2,0,6,4,0,1,4,3,0,1,1,1
7619,7,0,0,4,1,1,1,5,1,4,1,0
2574,2,0,1,9,0,0,0,0,1,2,1,1
5339,10,0,0,8,0,1,1,2,1,3,1,0
5232,7,0,8,0,0,1,1,5,1,0,1,1
2039,7,0,6,4,1,1,4,2,1,5,0,1
1714,5,0,8,1,0,1,0,2,0,0,0,1
4623,10,0,2,0,1,0,2,2,0,3,0,0
5339,2,0,0,8,1,0,4,3,0,5,0,1
5275,5,0,0,9,1,1,2,1,0,0,0,0
4623,5,0,0,4,1,1,3,1,0,0,0,0
2264,5,0,1,9,1,0,2,2,0,1,1,0
2501,7,0,3,7,0,1,5,3,0,3,1,1
6044,5,0,2,7,1,0,1,1,1,5,1,1
4166,5,0,1,4,0,0,2,0,1,4,0,1
5720,5,0,0,5,1,0,1,5,0,5,0,0
3883,10,0,0,7,0,1,0,5,1,1,0,0
7530,10,0,3,5,1,0,3,2,1,1,0,1
6132,5,0,4,3,1,1,2,5,1,0,0,0
4230,5,0,9,1,1,0,0,1,1,4,0,1
2574,10,0,3,3,1,1,3,0,1,3,0,0
8122,5,0,4,2,1,1,5,1,1,1,1,0
4230,10,0,2,5,1,0,3,5,1,5,1,0
3297,10,0,0,10,0,1,0,4,1,2,0,1
1714,7,0,0,6,1,0,1,4,0,1,1,1
3023,10,0,0,2,0,1,2,3,0,3,1,1
5275,2,0,0,10,0,0,2,0,0,2,1,0
3297,7,0,1,6,0,0,0,2,0,1,0,1
2472,7,0,7,3,1,1,4,3,1,1,0,1
5339,2,0,2,2,1,0,5,0,1,2,0,1
2129,5,0,3,7,0,1,4,1,1,4,0,0
6758,2,0,1,7,1,1,1,3,1,3,1,0
5232,5,0,2,8,1,0,1,0,1,0,1,1
1714,2,0,2,4,0,1,1,1,0,4,1,0
3082,2,0,0,8,0,0,1,4,0,2,0,0
2039,10,0,4,6,1,0,2,3,1,0,0,0
4230,7,0,6,3,1,0,4,5,0,3,1,1
5271,5,0,7,3,1,0,1,4,0,3,1,1
2264,5,0,1,6,0,1,0,4,0,4,1,1
4703,5,0,5,3,1,1,2,3,0,4,0,0
8803,7,0,0,4,0,1,0,3,0,0,1,1
1792,7,0,3,1,1,0,0,2,1,4,0,0
2846,2,0,1,2,0,1,0,5,1,0,1,0
5339,7,0,0,9,1,1,0,5,0,4,0,0
6045,7,0,1,6,1,0,3,3,0,0,0,1
3883,2,0,5,5,1,0,2,4,1,3,0,1
3100,2,0,0,5,1,0,1,4,0,1,1,1
6758,2,0,5,2,0,0,5,4,1,5,0,0
4166,7,0,1,6,0,1,4,4,0,2,1,0
3297,10,0,1,6,1,0,4,1,1,0,1,1
7530,10,0,0,5,0,1,4,1,0,0,0,0
2129,5,0,6,0,0,0,0,1,0,2,0,0
3130,2,0,0,4,0,1,3,0,0,5,1,1
6419,2,0,1,5,0,0,4,2,0,3,1,0
2175,5,0,2,8,0,0,1,0,1,1,0,1
1716,7,0,0,9,1,1,2,1,1,4,0,1
3212,10,0,7,1,0,1,0,2,1,1,1,1
2987,10,0,3,2,0,1,2,3,1,3,0,0
5720,2,0,8,2,0,1,0,0,0,2,1,1
3206,10,0,3,6,1,1,1,1,0,4,1,0
8122,10,0,5,1,1,1,2,2,1,5,1,1
3023,2,0,3,0,1,0,1,1,0,0,0,1
3297,7,0,0,8,1,1,3,5,1,0,0,0
2846,2,0,1,6,0,1,1,2,0,5,0,1
2062,10,0,3,6,0,0,2,1,0,2,0,1
6147,2,0,2,8,0,0,3,3,1,4,0,1
6574,2,0,6,3,0,1,0,1,0,1,1,0
2129,10,0,0,10,0,0,4,1,1,4,0,0
3130,10,0,3,5,1,0,4,4,1,4,0,0
3082,7,0,0,8,1,1,1,5,0,4,1,0
4229,7,0,0,9,1,1,3,1,0,4,0,0
3297,2,0,2,8,1,1,5,0,0,2,0,1
5913,7,0,2,3,1,1,1,5,1,5,0,1
2062,10,0,0,2,1,1,3,4,0,5,0,0
1716,7,0,0,7,0,0,1,1,1,0,0,0
6147,2,0,3,7,1,1,4,3,1,0,0,0
6045,10,0,0,10,1,0,2,4,0,5,1,1
7273,7,0,1,4,0,0,0,4,1,1,1,0
2855,5,0,1,5,0,1,2,1,1,2,0,0
3883,2,0,4,6,0,0,4,4,0,5,0,0
4623,7,0,0,10,1,0,3,3,0,3,1,1
5339,2,0,6,4,0,0,2,0,1,0,1,1
2491,5,0,0,10,0,0,5,0,1,3,1,1
8122,5,0,0,10,0,0,0,4,1,4,1,1
8803,7,0,9,0,0,0,4,1,1,2,0,1
6419,2,0,7,0,0,0,5,0,0,4,0,0
4182,7,0,0,10,1,0,4,1,1,3,1,0
3100,5,0,1,7,0,0,4,4,1,3,0,1
4623,5,0,1,9,1,1,1,3,1,5,1,0
4703,10,0,5,1,0,0,2,5,1,4,0,1
7619,7,0,6,0,1,1,2,2,1,2,1,0
2264,5,0,7,0,0,1,5,1,1,0,1,1
2169,5,0,2,8,1,1,3,5,1,2,0,0
4623,5,0,1,9,1,1,0,3,0,1,1,0
5232,5,0,1,9,0,0,1,5,1,2,0,1
5271,2,0,0,10,1,1,5,1,0,4,0,0
1806,10,0,3,5,1,0,3,3,0,3,0,0
2062,5,0,0,8,1,1,0,0,0,4,1,0
8700,10,0,9,1,0,0,1,0,0,3,1,1
5913,2,0,1,7,1,1,5,1,1,1,0,0
5275,7,0,1,6,0,0,1,1,0,1,1,0
4786,10,0,4,5,0,1,5,3,1,3,0,0
4703,5,0,0,10,0,0,2,0,1,2,1,0
4230,10,0,1,7,1,0,5,5,0,3,1,0
6147,7,0,10,0,1,1,0,1,0,4,0,0
6047,5,0,0,9,1,1,4,0,0,3,0,1
4182,10,0,3,6,0,1,0,5,0,5,1,1
2846,5,0,1,7,1,0,5,3,0,0,0,0
6758,2,0,2,7,0,1,1,0,0,1,1,0
2855,5,0,5,4,0,1,0,3,1,5,1,1
2039,7,0,2,4,0,0,1,0,0,2,0,0
1792,5,0,2,7,0,1,5,3,1,0,1,0
8700,5,0,0,4,0,0,0,3,1,1,0,1
2491,10,0,5,1,1,0,0,0,1,1,1,0
6047,2,0,0,3,1,1,3,5,0,4,1,0
3883,7,0,3,6,1,0,4,4,0,4,1,0
1806,7,0,0,6,1,0,3,0,1,5,0,1
2987,2,0,4,0,1,1,3,3,1,4,0,1
2227,2,0,0,4,0,0,4,3,0,3,1,0
6132,10,0,4,0,0,0,5,0,1,4,0,0
5720,5,0,2,0,1,0,1,4,0,1,0,1
3418,10,0,2,8,1,0,1,3,0,3,1,1
1792,7,0,0,7,0,0,0,4,0,0,0,0
2169,2,0,5,2,1,1,5,3,1,1,1,1
4229,2,0,0,8,1,1,4,0,1,1,1,1
3100,5,0,4,6,0,0,1,2,1,2,0,1
2472,5,0,6,2,1,0,0,4,1,2,1,1
3023,2,0,0,8,0,0,3,4,0,5,0,0
6047,2,0,1,9,1,1,4,5,0,4,0,0
6758,7,0,0,10,0,0,4,2,0,2,1,0
4166,5,0,3,1,0,1,5,4,1,4,0,1
2855,7,0,0,4,1,0,5,4,1,4,0,1
3418,5,0,0,6,0,0,5,4,0,0,1,0
2039,7,0,7,3,1,1,5,0,0,4,0,1
5275,7,0,0,10,0,1,3,1,1,5,0,0
6045,7,0,1,0,1,0,1,0,1,2,1,0
1792,10,0,6,2,0,0,2,2,1,5,0,1
5913,7,0,1,4,1,1,3,2,0,2,1,0
5720,10,0,2,8,1,0,5,4,0,3,1,0
3082,7,0,5,3,1,0,3,2,1,2,1,0
4230,5,0,4,6,1,1,3,3,1,0,1,1
2574,7,0,6,1,0,1,0,0,1,1,1,0
2512,10,0,3,6,1,1,1,3,0,3,1,0
2264,7,0,0,10,0,1,3,0,0,5,0,0
6758,10,0,0,6,0,0,2,1,0,0,0,1
3206,5,0,3,3,0,1,0,3,1,4,0,1
1716,10,0,1,8,1,0,3,5,0,5,0,1
4182,10,0,5,3,0,1,5,4,1,3,1,0
3418,5,0,5,3,1,1,1,5,0,0,1,1
3082,2,0,4,5,0,1,4,0,1,5,0,0
3023,2,0,2,4,1,0,0,3,0,0,0,1
4229,10,0,1,5,0,0,3,5,0,2,1,1
5720,7,0,1,9,1,1,0,5,1,5,0,1
2501,2,0,1,9,1,0,4,2,0,3,1,0
3206,7,0,1,9,1,1,3,0,0,0,1,0
6419,2,0,0,9,1,0,0,0,0,5,1,0
7530,5,0,2,7,1,0,5,3,1,3,0,0
8700,2,0,0,10,0,1,0,3,0,3,1,1
2129,5,0,1,8,1,1,4,0,1,2,0,0
2175,2,0,1,9,1,0,4,4,0,5,1,0
2855,7,0,4,1,1,0,0,1,1,4,1,0
3082,10,0,0,7,1,0,5,4,0,0,1,0
2512,7,0,7,1,0,0,3,5,1,1,1,0
5913,2,0,4,5,0,1,5,1,1,2,1,0
2491,2,0,4,2,1,1,4,2,1,5,0,0
6045,2,0,8,1,1,0,3,1,1,1,1,0
2512,10,0,0,9,1,1,4,0,1,3,1,0
3212,2,0,0,5,1,1,5,0,1,1,0,0
5913,10,0,2,8,0,1,4,5,0,2,1,1
8122,10,0,0,10,0,1,2,3,0,0,0,0
6758,7,0,3,4,1,1,3,5,0,3,1,0
1714,2,0,0,10,1,0,4,4,0,4,0,1
2846,2,0,1,9,0,0,1,1,0,4,1,1
4786,5,0,2,2,1,0,1,4,1,5,0,0
2512,10,0,2,7,0,1,3,0,0,5,0,0
3100,10,0,3,0,1,1,2,0,1,5,1,1
6045,5,0,3,3,0,0,3,2,0,5,0,0
7619,7,0,4,1,1,0,0,0,1,2,0,0
5275,7,0,0,8,0,0,0,3,1,0,0,1
1714,10,0,0,10,1,0,4,2,0,5,0,1
3212,5,0,4,6,1,0,5,2,1,0,0,1
3100,2,0,1,3,0,1,3,5,0,5,0,1
6147,7,0,1,6,1,0,2,3,1,0,0,1
6574,10,0,3,3,0,1,3,3,1,5,0,0
