Team #,Auto NOTES A,AUTO NOTES S,Teleop NOTES A,Teleop NOTES S,Teleop NOTES T,Driver Rating,Human Player Rating,Coopertition Button,Bot Rating
6419,0,0,0,0,0,2,1,0,2
6419,0,0,0,1,0,2,0,0,2
6419,0,0,0,0,0,2,3,0,1
6419,0,0,0,0,0,3,3,0,4
6574,0,0,0,2,0,1,3,0,3
6574,0,0,3,1,0,3,3,0,2
6574,0,0,0,2,0,3,3,0,3
6574,0,0,0,5,0,3,3,1,3
6574,0,0,0,2,0,2,1,0,2
6574,0,0,0,5,0,2,1,0,3
6574,0,0,0,5,0,2,1,0,3
6758,0,0,4,2,0,4,3,0,4
6758,0,1,3,0,0,3,3,0,3
6758,0,0,5,2,0,5,5,0,4
6758,0,0,0,0,0,1,3,0,1
6758,0,0,3,1,0,2,2,0,3
6758,0,0,3,1,0,2,2,0,3
7273,0,0,0,0,0,2,3,0,2
7273,0,0,0,0,0,1,3,1,1
7273,0,0,0,0,0,2,0,1,3
7273,0,0,0,0,0,3,3,1,2
7273,0,0,0,0,0,2,5,0,3
7275,0,0,0,0,0,4,3,0,1
7530,0,0,0,0,0,2,3,0,1
7530,0,0,0,0,0,2,3,1,3
7530,0,0,0,0,0,4,0,1,3
7530,0,0,0,0,0,1,1,0,1
7530,0,0,0,0,0,4,2,0,1
7619,0,0,0,0,0,1,5,0,1
7619,0,1,3,1,0,4,3,0,4
7619,0,0,0,0,0,3,3,0,2
7619,0,1,0,4,0,4,4,0,3
7619,0,0,3,0,0,1,2,0,3
7619,0,2,0,2,0,1,3,0,3
7619,0,0,3,0,0,1,2,0,3
8122,0,3,3,5,0,5,5,1,5
8122,0,3,4,4,0,5,4,0,5
8122,0,1,0,3,0,3,3,0,4
8122,0,4,3,1,0,4,5,0,5
8122,0,0,0,0,0,2,2,1,2
8122,0,0,0,1,0,2,3,0,2
8122,0,0,0,0,0,2,2,1,2
8700,0,0,0,0,0,2,3,0,1
8700,0,0,0,0,0,2,3,1,1
8700,0,0,0,0,0,4,3,1,3
8700,0,0,0,0,0,2,0,0,2
8700,0,0,0,0,0,1,3,0,2
8700,0,0,0,0,0,1,3,0,1
8803,0,0,0,0,0,2,3,0,2
8803,0,0,0,0,0,3,3,0,2
8803,0,0,0,0,1,1,3,1,3
8803,0,0,0,0,0,2,3,0,2
8803,0,0,0,1,0,3,3,0,3
